#
# Shellcode detector
#
Executed before
0x77CCFC8B::ntdll.dll  8B 0D EC BD CC 77       mov ecx, dword ptr [0x77ccbdec]
0x77CCFC91::ntdll.dll  0B CB                   or ecx, ebx
0x77CCFC93::ntdll.dll  85 0D 70 D7 D4 77       test dword ptr [0x77d4d770], ecx
0x77CCFC99::ntdll.dll  0F 85 D8 AF 01 00       jnz 0x77ceac77
0x77CCFDBB::ntdll.dll  BF 9C 78 D4 77          mov edi, 0x77d4789c
0x77CCFDC0::ntdll.dll  8B 35 9C 78 D4 77       mov esi, dword ptr [0x77d4789c]
0x77CCFDC6::ntdll.dll  89 75 C0                mov dword ptr [ebp-0x40], esi
0x77CCFDC9::ntdll.dll  3B F7                   cmp esi, edi
0x77CCFDCB::ntdll.dll  74 8B                   jz 0x77ccfd58
0x77CCFDCD::ntdll.dll  8D 46 F0                lea eax, ptr [esi-0x10]
0x77CCFDD0::ntdll.dll  89 45 DC                mov dword ptr [ebp-0x24], eax
0x77CCFDD3::ntdll.dll  80 3D 28 70 D4 77 00    cmp byte ptr [0x77d47028], 0x0
0x77CCFDDA::ntdll.dll  0F 84 81 C4 FC FF       jz 0x77c9c261
0x77CCFDE0::ntdll.dll  8B 36                   mov esi, dword ptr [esi]
0x77CCFDE2::ntdll.dll  EB E2                   jmp 0x77ccfdc6
0x77CCFDC6::ntdll.dll  89 75 C0                mov dword ptr [ebp-0x40], esi
0x77CCFDC9::ntdll.dll  3B F7                   cmp esi, edi
0x77CCFDCB::ntdll.dll  74 8B                   jz 0x77ccfd58
0x77CCFDCD::ntdll.dll  8D 46 F0                lea eax, ptr [esi-0x10]
0x77CCFDD0::ntdll.dll  89 45 DC                mov dword ptr [ebp-0x24], eax
0x77CCFDD3::ntdll.dll  80 3D 28 70 D4 77 00    cmp byte ptr [0x77d47028], 0x0
0x77CCFDDA::ntdll.dll  0F 84 81 C4 FC FF       jz 0x77c9c261
0x77CCFDE0::ntdll.dll  8B 36                   mov esi, dword ptr [esi]
0x77CCFDE2::ntdll.dll  EB E2                   jmp 0x77ccfdc6
0x77CCFD58::ntdll.dll  E8 E1 B3 FF FF          call 0x77ccb13e -> AlpcGetHeaderSize
0x77CCB13E::ntdll.dll  8B 0D A8 71 D4 77       mov ecx, dword ptr [0x77d471a8]
0x77CCB144::ntdll.dll  33 C0                   xor eax, eax
0x77CCB146::ntdll.dll  66 39 41 3A             cmp word ptr [ecx+0x3a], ax
0x77CCB14A::ntdll.dll  0F 95 C0                setnz al
0x77CCB14D::ntdll.dll  C3                      ret 
0x77CCFD5D::ntdll.dll  85 C0                   test eax, eax
0x77CCFD5F::ntdll.dll  0F 85 44 31 FB FF       jnz 0x77c82ea9
0x77CCFD65::ntdll.dll  C7 45 FC FE FF FF FF    mov dword ptr [ebp-0x4], 0xfffffffe
0x77CCFD6C::ntdll.dll  E8 32 00 00 00          call 0x77ccfda3 -> RtlGetVersion
0x77CCFDA3::ntdll.dll  8B 45 C8                mov eax, dword ptr [ebp-0x38]
0x77CCFDA6::ntdll.dll  A3 20 CC D4 77          mov dword ptr [0x77d4cc20], eax
0x77CCFDAB::ntdll.dll  8D 85 34 FF FF FF       lea eax, ptr [ebp-0xcc]
0x77CCFDB1::ntdll.dll  39 45 D8                cmp dword ptr [ebp-0x28], eax
0x77CCFDB4::ntdll.dll  0F 85 7E 33 FC FF       jnz 0x77c93138
0x77CCFDBA::ntdll.dll  C3                      ret 
0x77CCFD71::ntdll.dll  8B 45 D4                mov eax, dword ptr [ebp-0x2c]
0x77CCFD74::ntdll.dll  E8 84 6E FE FF          call 0x77cb6bfd -> RtlEnterCriticalSection
0x77CB6BFD::ntdll.dll  8B 4D F0                mov ecx, dword ptr [ebp-0x10]
0x77CB6C00::ntdll.dll  64 89 0D 00 00 00 00    mov dword ptr fs:[0x0], ecx
0x77CB6C07::ntdll.dll  59                      pop ecx
0x77CB6C08::ntdll.dll  5F                      pop edi
0x77CB6C09::ntdll.dll  5F                      pop edi
0x77CB6C0A::ntdll.dll  5E                      pop esi
0x77CB6C0B::ntdll.dll  5B                      pop ebx
0x77CB6C0C::ntdll.dll  8B E5                   mov esp, ebp
0x77CB6C0E::ntdll.dll  5D                      pop ebp
0x77CB6C0F::ntdll.dll  51                      push ecx
0x77CB6C10::ntdll.dll  C3                      ret 
0x77CCFD79::ntdll.dll  C2 04 00                ret 0x4
0x77CCEE77::ntdll.dll  89 45 A0                mov dword ptr [ebp-0x60], eax
0x77CCEE7A::ntdll.dll  89 7D FC                mov dword ptr [ebp-0x4], edi
0x77CCEE7D::ntdll.dll  8B 45 90                mov eax, dword ptr [ebp-0x70]
0x77CCEE80::ntdll.dll  3B C7                   cmp eax, edi
0x77CCEE82::ntdll.dll  0F 84 A7 FD FF FF       jz 0x77ccec2f
0x77CCEE88::ntdll.dll  39 7D A0                cmp dword ptr [ebp-0x60], edi
0x77CCEE8B::ntdll.dll  0F 8C 20 DB 01 00       jl 0x77cec9b1
0x77CCEE91::ntdll.dll  3B 05 AC 71 D4 77       cmp eax, dword ptr [0x77d471ac]
0x77CCEE97::ntdll.dll  0F 84 92 FD FF FF       jz 0x77ccec2f
0x77CCEC2F::ntdll.dll  39 7D A0                cmp dword ptr [ebp-0x60], edi
0x77CCEC32::ntdll.dll  7C 08                   jl 0x77ccec3c
0x77CCEC34::ntdll.dll  8B 45 9C                mov eax, dword ptr [ebp-0x64]
0x77CCEC37::ntdll.dll  8B 4D 88                mov ecx, dword ptr [ebp-0x78]
0x77CCEC3A::ntdll.dll  89 01                   mov dword ptr [ecx], eax
0x77CCEC3C::ntdll.dll  C7 45 FC FE FF FF FF    mov dword ptr [ebp-0x4], 0xfffffffe
0x77CCEC43::ntdll.dll  E8 3E 01 00 00          call 0x77cced86 -> LdrGetProcedureAddressEx
0x77CCED86::ntdll.dll  85 DB                   test ebx, ebx
0x77CCED88::ntdll.dll  74 0B                   jz 0x77cced95
0x77CCED8A::ntdll.dll  8D 45 A4                lea eax, ptr [ebp-0x5c]
0x77CCED8D::ntdll.dll  3B D8                   cmp ebx, eax
0x77CCED8F::ntdll.dll  0F 85 F5 C6 FB FF       jnz 0x77c8b48a
0x77CCED95::ntdll.dll  80 3D 48 71 D4 77 00    cmp byte ptr [0x77d47148], 0x0
0x77CCED9C::ntdll.dll  0F 84 1B 01 00 00       jz 0x77cceebd
0x77CCEDA2::ntdll.dll  C3                      ret 
0x77CCEC48::ntdll.dll  8B 45 A0                mov eax, dword ptr [ebp-0x60]
0x77CCEC4B::ntdll.dll  E8 B4 80 FF FF          call 0x77cc6d04 -> RtlCompareUnicodeStrings
0x77CC6D04::ntdll.dll  8B 4D E4                mov ecx, dword ptr [ebp-0x1c]
0x77CC6D07::ntdll.dll  33 CD                   xor ecx, ebp
0x77CC6D09::ntdll.dll  E8 9F FF FF FF          call 0x77cc6cad -> RtlCompareUnicodeStrings
0x77CC6CAD::ntdll.dll  3B 0D E8 71 D4 77       cmp ecx, dword ptr [0x77d471e8]
0x77CC6CB3::ntdll.dll  0F 85 D4 17 05 00       jnz 0x77d1848d
0x77CC6CB9::ntdll.dll  C3                      ret 
0x77CC6D0E::ntdll.dll  E9 EA FE FE FF          jmp 0x77cb6bfd
0x77CCEC50::ntdll.dll  C2 14 00                ret 0x14
0x77CCEE3F::ntdll.dll  5D                      pop ebp
0x77CCEE40::ntdll.dll  C2 10 00                ret 0x10
0x77CDCBF2::ntdll.dll  3B C7                   cmp eax, edi
0x77CDCBF4::ntdll.dll  89 45 98                mov dword ptr [ebp-0x68], eax
0x77CDCBF7::ntdll.dll  0F 8C C9 15 01 00       jl 0x77cee1c6
0x77CDCBFD::ntdll.dll  68 B0 71 D4 77          push 0x77d471b0
0x77CDCC02::ntdll.dll  57                      push edi
0x77CDCC03::ntdll.dll  8D 85 28 FF FF FF       lea eax, ptr [ebp-0xd8]
0x77CDCC09::ntdll.dll  50                      push eax
0x77CDCC0A::ntdll.dll  FF B5 48 FF FF FF       push dword ptr [ebp-0xb8]
0x77CDCC10::ntdll.dll  E8 12 22 FF FF          call 0x77ccee27 -> LdrGetProcedureAddress
0x77CCEE27::ntdll.dll  8B FF                   mov edi, edi
0x77CCEE29::ntdll.dll  55                      push ebp
0x77CCEE2A::ntdll.dll  8B EC                   mov ebp, esp
0x77CCEE2C::ntdll.dll  6A 00                   push 0x0
0x77CCEE2E::ntdll.dll  FF 75 14                push dword ptr [ebp+0x14]
0x77CCEE31::ntdll.dll  FF 75 10                push dword ptr [ebp+0x10]
0x77CCEE34::ntdll.dll  FF 75 0C                push dword ptr [ebp+0xc]
0x77CCEE37::ntdll.dll  FF 75 08                push dword ptr [ebp+0x8]
0x77CCEE3A::ntdll.dll  E8 C6 FC FF FF          call 0x77cceb05 -> LdrGetProcedureAddressEx
0x77CCEB05::ntdll.dll  6A 70                   push 0x70
0x77CCEB07::ntdll.dll  68 A0 FD CB 77          push 0x77cbfda0
0x77CCEB0C::ntdll.dll  E8 AB 81 FF FF          call 0x77cc6cbc -> RtlCompareUnicodeStrings
0x77CC6CBC::ntdll.dll  68 4D D7 C8 77          push 0x77c8d74d
0x77CC6CC1::ntdll.dll  64 FF 35 00 00 00 00    push dword ptr fs:[0x0]
0x77CC6CC8::ntdll.dll  8B 44 24 10             mov eax, dword ptr [esp+0x10]
0x77CC6CCC::ntdll.dll  89 6C 24 10             mov dword ptr [esp+0x10], ebp
0x77CC6CD0::ntdll.dll  8D 6C 24 10             lea ebp, ptr [esp+0x10]
0x77CC6CD4::ntdll.dll  2B E0                   sub esp, eax
0x77CC6CD6::ntdll.dll  53                      push ebx
0x77CC6CD7::ntdll.dll  56                      push esi
0x77CC6CD8::ntdll.dll  57                      push edi
0x77CC6CD9::ntdll.dll  A1 E8 71 D4 77          mov eax, dword ptr [0x77d471e8]
0x77CC6CDE::ntdll.dll  31 45 FC                xor dword ptr [ebp-0x4], eax
0x77CC6CE1::ntdll.dll  33 C5                   xor eax, ebp
0x77CC6CE3::ntdll.dll  89 45 E4                mov dword ptr [ebp-0x1c], eax
0x77CC6CE6::ntdll.dll  50                      push eax
0x77CC6CE7::ntdll.dll  89 65 E8                mov dword ptr [ebp-0x18], esp
0x77CC6CEA::ntdll.dll  FF 75 F8                push dword ptr [ebp-0x8]
0x77CC6CED::ntdll.dll  8B 45 FC                mov eax, dword ptr [ebp-0x4]
0x77CC6CF0::ntdll.dll  C7 45 FC FE FF FF FF    mov dword ptr [ebp-0x4], 0xfffffffe
0x77CC6CF7::ntdll.dll  89 45 F8                mov dword ptr [ebp-0x8], eax
0x77CC6CFA::ntdll.dll  8D 45 F0                lea eax, ptr [ebp-0x10]
