137, 4294967295
137, 4294967295
78, 4294967295
125, 1242896
108, 1904
25, 1904
137, 4294967295
137, 4294967295
78, 4294967295
125, 1242108
108, 1904
25, 1904
137, 4294967295
137, 4294967295
78, 4294967295
137, 4294967295
137, 4294967295
78, 4294967295
125, 1241320
108, 1904
25, 1904
137, 4294967295
137, 4294967295
78, 4294967295
137, 4294967295
137, 4294967295
78, 4294967295
137, 4294967295
137, 4294967295
78, 4294967295
137, 4294967295
137, 4294967295
78, 4294967295
137, 4294967295
137, 4294967295
78, 4294967295
137, 4294967295
137, 4294967295
78, 4294967295
125, 1242108
108, 1904
25, 1904
137, 4294967295
137, 4294967295
78, 4294967295
137, 4294967295
137, 4294967295
78, 4294967295
137, 4294967295
137, 4294967295
78, 4294967295
137, 4294967295
137, 4294967295
78, 4294967295
137, 4294967295
137, 4294967295
78, 4294967295
125, 1242108
108, 1904
25, 1904
137, 4294967295
137, 4294967295
78, 4294967295
137, 4294967295
137, 4294967295
78, 4294967295
137, 4294967295
137, 4294967295
78, 4294967295
137, 4294967295
137, 4294967295
78, 4294967295
137, 4294967295
137, 4294967295
78, 4294967295
137, 4294967295
137, 4294967295
78, 4294967295
137, 4294967295
137, 4294967295
78, 4294967295
137, 4294967295
137, 4294967295
78, 4294967295
154, 4294967295
228, 4294967295
119, 1243068
173, 0
200, 2024
139, 1239448
116, 1239684
50, 1239680
25, 1904
108, 1900
25, 1900
267, 4294967295
139, 1239356
116, 1239592
50, 1239588
25, 1900
108, 1904
25, 1904
267, 4294967295
139, 1239664
116, 1239964
50, 1240144
167, 1900
25, 1904
108, 1900
25, 1900
137, 4294967295
137, 4294967295
78, 4294967295
137, 4294967295
137, 4294967295
78, 4294967295
137, 4294967295
137, 4294967295
78, 4294967295
137, 4294967295
137, 4294967295
78, 4294967295
119, 1239336
173, 0
17, 4294967295
139, 1236580
119, 1239336
119, 1239336
119, 1239336
119, 1239336
119, 1239336
119, 1239336
119, 1239336
119, 1239336
119, 1239336
119, 1239336
119, 1239336
119, 1239336
139, 1239984
119, 1242216
119, 1242016
177, 1900
25, 1900
4316, 1242536
4340, 0
4418, 24
4126, 0
4296, 0
4296, 4
4121, 8
4140, 0
4296, 13
4126, 0
4353, 1996556307
4530, 1312
119, 1241788
177, 1892
25, 1892
4473, 1241132
4584, 1241144
4473, 1241132
4584, 1241144
4473, 1241132
4584, 1241144
4473, 1241132
4584, 1241144
4473, 1241132
4584, 1241144
4473, 1241132
4584, 1241144
4473, 1241132
4584, 1241144
4473, 1241132
4584, 1241144
4473, 1241132
4584, 1241144
4584, 1241096
4584, 1241352
